	Jedek2	Jedek34	Jedek5	Jedek31	Jedek32	Jedek38	Jedek20	Jedek16	Jahai13	Jahai6
hand	cyas	cas	cyas	cyas	cyas	cyas	cyas	cyas	cyas	cyas
arm	cyas	bliŋ	cyas	bliŋ	bliŋ	bliŋ	bliŋ	bliŋ	bliŋ	bliŋ
upper arm	?	?	?	klapəh	klapəh	klapəh	bliŋ	klapəh	bliŋ	klapəh
claw/nail	klkɔʔ	klkɔʔ cas	klkɔʔ cas	klkɔʔ cas	klkɔʔ cas	klkɔʔ cas	klkɔʔ cyas	klkɔʔ cyas	klkɔʔ cyas	klkɔʔ cyas
foot	can	can	can	can	can	can	can	can	can	can
(lower) leg	can	?	can	kteŋ	kteŋ	kteŋ	kteŋ	kteŋ	kteŋ	blɨʔ
thigh	?	blɨʔ	can	blɨʔ	blɨʔ	blɨʔ	blɨʔ	blɨʔ	blɨʔ	blɨʔ
knee	kaltoŋ	kaltoŋ	kaltoŋ	kaltoŋ	kaltoŋ	kaltoŋ	kaltoŋ	kaltoŋ	kaltoŋ	kaltoŋ
head	kuy	kuy	kuy	kuy	kuy	kuy	kuy	kuy	kuy	kuy
ear	ʔnteŋ	ʔnteŋ	ʔnteŋ	ʔnteŋ	ʔnteŋ	ʔnteŋ	ʔnteŋ	ʔnteŋ	ʔnteŋ	ʔnteŋ
eye	mɛt	mɛt	mɛt	mɛt	mɛt	mɛt	mɛt	mɛt	mɛt	mit
nose	mɔh	mɔh	mɔh	mɔh	mɔh	mɔh	mɔh	mɔh	mɔh	mɔh
mouth	hãɲ	hãɲ	hãɲ	hãɲ	tnɨt	hãɲ	hãɲ	hãɲ	hɛ̃ɲ	hɛ̃ɲ
tongue	lntek	lntek	lntek	lntek	lntek	lntek	lntek	lntek	lntek	lntek
tooth (front)	hãɲ	hãɲ	hãɲ	hãɲ	hãɲ	hãɲ	hãɲ	hãɲ	hɛ̃ɲ	hɛ̃ɲ
hair	sɔk kuy	sɔk kuy	sɔk kuy	sɔk kuy	sɔk kuy	sɔk kuy	sɔk kuy	sɔk kuy	sɔk kuy	sɔk kuy
skin (of person)	ktɨʔ	ktɨʔ	ktɨʔ	ktɨʔ	ktɨʔ	ktɨʔ	ktɨʔ	ktɨʔ	ktɨʔ	ktɨʔ
neck	ʔŋɨt	ʔŋɨt	ʔŋɨt	ʔŋɨt	ʔŋɨt	ʔŋɨt	ʔŋɨt	ʔŋɨt	ʔŋɨt	ʔŋɨt
back of neck	?	?	?	tŋkɔk	tŋkɔk	tŋkɔk	tŋkɔk	tŋkɔk	?	?
breast	klaŋis	dkduk	ʔãm	ʔãm	cnʔah	ʔãm	ʔãm	ʔãm	ʔɛ̃m	ʔɛ̃m
back (of person)	krəʔ	krəʔ	krəʔ	krəʔ	krəʔ	krɔʔ	krəʔ	krəʔ	krəʔ	krəʔ
belly	cɨŋ	cɨŋ	cɨŋ	cɨŋ	cɨŋ	cɨŋ	cɨŋ	cɨŋ	cɨŋ	cɨŋ
bone	jʔeŋ	jʔeŋ	jʔeŋ	jʔeŋ	jʔeŋ	jʔeŋ	jʔeŋ	jʔeŋ	jʔeŋ	jʔeŋ
heart	klaŋes	klaŋes	klaŋes	klaŋes	klaŋes	klaŋes	klaŋes	klaŋes	klaŋis	klaŋis
liver	klaŋes	klaŋes	klaŋes	ros	klaŋes	klaŋes	?	klaŋes	ros	klaŋis
guts	ʔɛcwɛ̃c	ʔɛcwɛ̃c	ʔɛc cɨŋ	ʔɛc cɨŋ	ktɨʔ cɨŋ	ʔɛc cɨŋ	ʔɛc cɨŋ	ʔɛcwɛ̃c	ʔɛc cɨŋ	ʔɛc
blood	ɲap	ɲap	ɲap	bhɨ̃m	bhɨ̃m	bhɨ̃m	bhɨ̃m	bhɨ̃m	bhɨ̃m	darah
I	ʔiɲ	ʔiɲ	ʔiɲ	ʔiɲ	ʔiɲ	ʔiɲ	ʔiɲ	ʔiɲ	yɛʔ	yɛʔ
you (PL)	bɛʔ mnraʔ	bɛʔ	smpay	tigaʔ oraŋ	smpay	smpay	smpay	smpay	gin	gin
thou/you	bɛʔ	bɛʔ	bɛʔ	bɛʔ	bɛʔ	bɛʔ	bɛʔ	bɛʔ	mɔh	mɔh
he	ʔoʔ	ʔoʔ	ʔoʔ	ʔoʔ	ʔoʔ	ʔoʔ	ʔoʔ	ʔoʔ	ʔoʔ	ʔoʔ
we (incl.)	hiʔ	?	hiʔ	ʔapay	hiʔ	hiʔ	hiʔ	hiʔ	heʔ	heʔ
we (excl.)	hiʔ	ʔapay	ʔapay	ʔapay	ʔapay	ʔapay	ʔapay	?	yapɛ̃h	?
they	ʔoʔ mnraʔ	gin	gin	gin	gin	gin	gin	?	gin	?
person	mnraʔ	?	mnraʔ	mnraʔ	mnraʔ	mnraʔ	mnraʔ	mnraʔ	?	mnraʔ
child	wɔŋ kɛn	kɛn	wɔŋ kɛn	kɛn	kɛn	wɔŋ kɛn	kɛn	kɛn	wɔŋ kɛn	wɔŋ kɛn
woman	baboʔ	baboʔ	baboʔ	baboʔ	baboʔ	baboʔ	baboʔ	baboʔ	baboʔ	baboʔ
man (male)	tmkal	tmkal	tmkal	tmkal	tmkal	tmkal	tmkal	tmkal	tmkal	tmkal
mother	mɛ̃ʔ	naʔ	naʔ	naʔ	naʔ	naʔ	naʔ	naʔ	bɨʔ	bɨʔ
